question,answer,section,hit_rate,mrr
1.0,1.0,0.1,0.9486725663716814,0.8183480825958698
1.0,1.0,0.2,0.9398230088495575,0.8154572271386427
1.0,1.0,0.5,0.8973451327433628,0.7795870206489672
1.0,2.0,0.1,0.9823008849557522,0.8659292035398227
1.0,2.0,0.2,0.9734513274336283,0.8625958702064894
1.0,2.0,0.5,0.9486725663716814,0.841120943952802
1.0,4.0,0.1,0.9663716814159292,0.8658702064896752
1.0,4.0,0.2,0.9699115044247788,0.865870206489675
1.0,4.0,0.5,0.9646017699115044,0.8581120943952798
1.0,10.0,0.1,0.95929203539823,0.8419764011799405
1.0,10.0,0.2,0.9628318584070796,0.8443952802359875
1.0,10.0,0.5,0.9628318584070796,0.8473451327433623
2.0,1.0,0.1,0.8778761061946903,0.7520943952802358
2.0,1.0,0.2,0.879646017699115,0.7524483775811208
2.0,1.0,0.5,0.8707964601769912,0.7402359882005898
2.0,2.0,0.1,0.9486725663716814,0.818318584070796
2.0,2.0,0.2,0.9486725663716814,0.8183480825958698
2.0,2.0,0.5,0.9345132743362832,0.8085840707964597
2.0,4.0,0.1,0.9787610619469026,0.8622713864306781
2.0,4.0,0.2,0.9823008849557522,0.8659292035398227
2.0,4.0,0.5,0.9699115044247788,0.860294985250737
2.0,10.0,0.1,0.9663716814159292,0.8659882005899701
2.0,10.0,0.2,0.968141592920354,0.8673156342182886
2.0,10.0,0.5,0.9699115044247788,0.8663716814159288
5.0,1.0,0.1,0.8088495575221238,0.673834808259587
5.0,1.0,0.2,0.8106194690265487,0.6772271386430678
5.0,1.0,0.5,0.8123893805309734,0.6817404129793512
5.0,2.0,0.1,0.8601769911504424,0.7254867256637165
5.0,2.0,0.2,0.8584070796460177,0.7271386430678464
5.0,2.0,0.5,0.8584070796460177,0.7280825958702064
5.0,4.0,0.1,0.9150442477876106,0.7928023598820056
5.0,4.0,0.2,0.9168141592920354,0.7962831858407077
5.0,4.0,0.5,0.9238938053097345,0.7928613569321531
5.0,10.0,0.1,0.9787610619469026,0.862507374631268
5.0,10.0,0.2,0.9787610619469026,0.8628023598820055
5.0,10.0,0.5,0.9823008849557522,0.8659292035398227
